,DefaultedAdvances,AdvanceAmount,CurrentBalance,LatefeesTotalCount,CreditAccounts,LastRepaymentAmount,OverdraftCount,OverdraftTotal,AverageMonthlySpend,BalanceAverage,BalanceMin,TotalAssets,AverageNumberOfTransactionsADay,TotalCash,LatefeesCount,Paycheck,TotalHistoryInDays,AverageMonthlyIncome,AverageMonthlyDiscretionarySpend,CheckingAccountCount,CreditAccountCount,SavingsAccountCount,OutstandingCreditDebtWherePayingInterest,AverageNumberOfTransactionsADayPrimaryChecking,NegativeBalanceCount,NumberOfMatches,ErrorRate,IsNameBased,BalanceAbove100L30Count,AveragePotentialMonthlyIncome,HasEmpowerBanking,bal_vol_index,dep_wd_ratio,od_per_30d,CurrentBalance_missing,PaycheckModelUsed_missing,NumberOfMatches_missing,ErrorRate_missing,IsNameBased_missing,bal_vol_index_missing,PaycheckModel_BruteForce,PaycheckModel_DeepSearch,PaycheckModel_Tagging,PaycheckModel_VariableIncomeInMonth
34,0,50,0.12,0,0,0.0,19,34,-4587.008357,161.66,-1379.5,-106.21,2.938547486,-106.21,0,3378.519444,181.9548035,4247.040084,-1275.436667,2,0,1,0.0,2.575418994,26,5.0,0.0,1.0,9,5536.316667,0,-8.533341581096128,-1.0800482845172035,3.132646069439986,0,0,0,0,0,0,1,0,0,0
35,0,50,0.56,0,0,0.0,0,0,-6112.214683,634.06,-39.11,9.32,5.506072874,9.32,0,1588.0,494.8863671,2948.973082,-2519.533333,2,0,1,0.0,4.751012146,0,3.0,0.0,0.0,26,6225.18,1,-0.06168185976090591,-2.072658689327433,0.0,0,0,0,0,0,0,1,0,0,0
36,0,50,0.0,0,0,0.0,0,0,-4487.212065,416.79,-77.79,-19.76,3.852054795,-19.76,0,2723.37,730.2700718,2897.277813,-1274.283333,1,0,1,0.0,3.504109589,9,3.0,0.0,0.0,14,4325.163333,1,-0.18664075433671634,-1.5487683110214738,0.0,1,0,0,0,0,0,1,0,0,0
37,0,50,112.95,0,0,0.0,7,9,-2678.692321,-9.22,-285.13,3.69,1.471204188,3.69,0,1763.666667,194.1320009,2118.905895,-242.2666667,2,0,2,0.0,1.471204188,21,3.0,1.0,0.0,2,1553.506667,1,30.92516268980477,-1.264186544254246,1.0817381937364041,0,0,0,0,0,0,1,0,0,0
38,0,50,3.33,0,0,0.0,7,16,-2107.453064,343.14,-245.55,4.33,2.115315315,4.33,0,1086.489444,557.4647303,1978.305112,-253.9533333,1,0,1,0.0,2.113513514,1,6.0,0.0,0.0,0,648.75,1,-0.7155971323657982,-1.0652821201424463,0.3767054462566418,0,0,0,0,0,0,1,0,0,0
39,0,50,46.79,0,0,0.0,0,0,-3572.503289,461.72,12.97,46.79,4.592178771,46.79,0,2699.002222,359.8859905,3697.888685,-979.6266667,1,0,0,0.0,4.592178771,0,5.0,0.0,1.0,20,3712.16,0,0.02809061769037512,-0.9660927067630215,0.0,0,0,0,0,0,0,1,0,0,0
40,0,50,0.0,0,0,0.0,0,0,-3189.906439,-41.9,-318.76,121.48,3.5,121.48,0,2128.630833,90.63891945,3450.362892,-1655.21,1,0,0,0.0,3.5,29,7.0,0.0,0.0,6,3231.583333,0,7.60763723150358,-0.9245133160909267,0.0,1,0,0,0,0,0,1,0,0,0
41,0,50,0.0,0,4,0.0,14,56,-5684.18,291.06,-145.46,5.54,2.448963317,5.54,0,3936.45,1073.698598,4853.2525,-1057.973333,1,4,1,0.0,2.539608574,7,11.0,0.0,0.0,0,4299.62,0,-0.4997594997594998,-1.1712104408332351,0.39117122885541855,1,0,0,0,0,0,1,0,0,0
42,0,50,73.8,0,0,0.0,0,4,-6754.334268,142.93,-437.3,132.17,5.179836512,132.17,0,5159.425556,368.9589097,6032.108633,-2310.356667,1,0,0,0.0,5.179836512,37,5.0,0.0,1.0,8,8695.313333,0,-3.059539634786259,-1.1197302102699052,0.0,0,0,0,0,0,0,1,0,0,0
43,0,50,0.0,0,0,0.0,6,6,-3867.468797,173.17,-84.44,-17.93,5.284090909,-17.93,0,2304.67,89.43908023,3025.131061,-1319.216667,1,0,0,0.0,5.284090909,6,3.0,0.0,0.0,0,1152.423333,1,-0.4876133279436392,-1.2784466917349204,2.012543057655726,1,0,0,0,0,0,1,0,0,0
44,0,50,0.33,0,0,0.0,8,33,-5050.15039,439.33,-260.87,68.28,3.682741117,68.28,0,3311.569444,609.6273823,3262.791632,-912.48,1,0,1,0.0,3.677664975,9,6.0,0.0,0.0,0,535.09,1,-0.5937905446930554,-1.5478004603390498,0.3936831037584448,0,0,0,0,0,0,1,0,0,0
45,0,50,34.08,0,1,0.0,0,1,-2883.098096,198.98,0.24,112.09,2.596205962,112.09,0,2186.946667,740.9175859,2326.562313,-1716.786667,1,1,0,0.0,2.596205962,0,11.0,0.0,0.0,14,3637.156667,0,0.0012061513719971856,-1.2392094894214856,0.0,0,0,0,0,0,0,1,0,0,0
46,0,50,54.27,0,0,0.0,1,13,-4593.857894,408.65,-252.08,54.27,2.633093525,54.27,0,3197.169444,557.8971906,4000.077245,-800.2766667,1,0,0,0.0,2.633093525,4,5.0,0.0,1.0,23,5161.603333,0,-0.6168603939801787,-1.1484422956437181,0.05377334839728443,0,0,0,0,0,0,1,0,0,0
47,0,50,0.0,0,0,0.0,0,0,-6915.193136,836.49,-98.66,-98.66,4.14266118,-98.66,0,5246.229444,730.7758971,7216.421567,-2326.84,1,0,1,0.0,3.865569273,7,3.0,0.0,0.0,22,5291.023333,0,-0.11794522349340697,-0.9582579221289553,0.0,1,0,0,0,0,0,1,0,0,0
48,0,50,189.02,0,0,0.0,0,0,-1963.73286,292.27,0.0,189.02,1.683832335,189.02,0,1363.996111,837.6534435,1818.810463,-448.4566667,1,0,1,0.0,1.623952096,0,6.0,0.0,0.0,18,2247.05,1,0.0,-1.0796797686994613,0.0,0,0,0,0,0,0,1,0,0,0
49,0,50,0.0,0,0,0.0,9,16,-2034.73904,461.94,-208.85,23.4,3.208571429,23.4,0,2269.15,351.6765637,2051.143571,-1460.503333,1,0,1,0.0,2.874285714,7,4.0,0.0,1.0,0,1620.263333,0,-0.45211499328917176,-0.9920022512163776,0.7677509048636101,1,0,0,0,0,0,1,0,0,0
50,0,50,0.0,0,0,0.0,1,53,-6731.236061,528.08,26.15,191.2,1.91627907,191.2,0,2837.326667,2153.260992,6209.826223,-1019.38,1,0,0,0.0,1.91627907,0,7.0,0.0,0.0,31,0.0,1,0.049519012270868044,-1.0839652865113678,0.013932356603058735,1,0,0,0,0,0,1,0,0,0
51,0,50,40.31,0,0,0.0,0,0,-5324.983069,194.78,-609.63,-609.63,4.074626866,-609.63,0,1083.333333,65.89429105,5592.794986,-316.7833333,1,0,1,0.0,3.603174603,7,5.0,0.0,1.0,13,3516.166667,0,-3.129838792483828,-0.9521148338763726,0.0,0,0,0,0,0,0,1,0,0,0
52,0,50,2.29,0,0,0.0,1,4,-2439.539004,-17716.64,-18058.1,-17601.21,2.182879377,-17601.21,0,1692.0,773.372528,2684.54149,-129.9633333,1,0,2,0.0,1.667963684,3,5.0,1.0,1.0,0,1692.0,1,1.0192734062440734,-0.9087358169308831,0.03879113740642207,0,0,0,0,0,0,1,0,0,0
53,0,50,183.21,0,0,0.0,14,72,-7454.641367,805.1,-645.17,612.18,5.364741641,612.18,0,10918.98889,660.796518,5849.174278,-2473.4,2,0,1,0.0,2.258258258,7,3.0,0.0,0.0,20,0.0,1,-0.8013538690845857,-1.2744775608821413,0.635596569532771,0,0,0,0,0,0,1,0,0,0
54,0,50,0.16,0,0,0.0,0,1,-2714.176099,599.1,-15.0,0.16,2.96744186,0.16,0,4206.2,431.5544428,2359.461892,-869.8366667,1,0,0,0.0,2.96744186,1,3.0,0.0,0.0,0,2102.81,1,-0.02503755633450175,-1.150336908683584,0.0,0,0,0,0,0,0,1,0,0,0
55,0,50,0.0,0,0,0.0,0,0,-3141.550321,208.17,-457.1,37.64,4.065088757,37.64,0,711.0422222,171.1022877,2741.064162,-1607.856667,1,0,0,0.0,4.065088757,5,5.0,0.0,1.0,5,3187.996667,1,-2.1958015083825724,-1.1461060870270865,0.0,1,0,0,0,0,0,1,0,0,0
56,0,50,381.29,0,0,0.0,0,0,-2305.353519,325.95,-99.46,297.81,3.458333333,297.81,0,1966.35,360.7747094,825.0031522,-246.4533333,1,0,1,0.0,2.727777778,13,5.0,0.0,1.0,0,1641.323333,0,-0.30513882497315536,-2.7943572250026123,0.0,0,0,0,0,0,0,1,0,0,0
57,0,50,9.24,0,0,0.0,2,8,-3505.080163,187.08,-176.98,40.11,7.058536585,40.11,0,1923.146667,207.7441827,3437.497297,-1458.023333,1,0,1,0.0,6.863414634,5,11.0,0.0,0.0,9,3864.693333,0,-0.9460124011118237,-1.019660485568667,0.288816751546035,0,0,0,0,0,0,1,0,0,0
58,0,50,194.72,0,0,0.0,0,1,-2473.613936,539.41,-32.44,195.86,2.290410959,195.86,0,2743.0,90.91429512,1971.053272,-1679.446667,2,0,1,0.0,3.311111111,9,5.0,0.0,0.0,18,3679.066667,0,-0.06013978235479505,-1.2549706145131525,0.0,0,0,0,0,0,0,1,0,0,0
59,0,50,0.0,0,0,0.0,2,2,-4015.748653,209.48,-274.81,-1.82,4.088832487,-1.82,0,2375.22,80.88126887,3208.847114,-555.96,3,0,0,0.0,5.35443038,13,11.0,0.0,0.0,0,0.0,1,-1.311867481382471,-1.2514615094871733,0.7418281245863941,0,0,0,0,0,0,1,0,0,0
60,0,50,0.0,0,0,0.0,1,1,-2628.202778,216.05,-39.79,31.29,1.696969697,31.29,0,1707.34,67.56737562,2557.276641,-759.2233333,1,0,0,0.0,1.696969697,3,4.0,0.0,1.0,0,1195.296667,0,-0.18417033094191157,-1.0277350271233325,0.4440012613294392,1,0,0,0,0,0,1,0,0,0
61,0,50,0.0,0,0,0.0,0,0,-3925.387821,72.18,0.0,1510.44,5.097893432,1510.44,0,1780.0,1595.928637,3641.550267,-1009.146667,4,0,7,0.0,2.061480552,0,5.0,0.0,1.0,0,741.6666667,1,0.0,-1.077944153777625,0.0,0,0,0,0,0,0,1,0,0,0
62,0,50,0.0,0,0,0.0,0,0,-3233.312673,1488.13,-24.99,0.14,3.36682243,0.14,0,2940.173889,428.8000967,2040.856944,-1380.143333,1,0,1,0.0,3.306074766,1,5.0,0.0,1.0,28,2946.76,0,-0.016792887718142902,-1.5842916783098149,0.0,1,0,0,0,0,0,1,0,0,0
63,0,50,271.28,0,0,0.0,0,0,-6709.126815,1470.41,65.06,271.28,6.209677419,271.28,0,2343.741111,63.92282611,5108.3575,-1122.036667,1,0,0,0.0,6.209677419,0,5.0,0.0,1.0,29,3702.376667,0,0.04424616263491135,-1.3133628206326593,0.0,0,0,0,0,0,0,1,0,0,0
